날짜,순위,영화코드,영화명,일관객,누적관객,스크린수,상영횟수
20260917,1,20256308,인턴,46155,128721,1426,4802
20260917,2,20250654,오디세이,39365,10960848,1059,2659
20260917,3,20263870,레지던트 이블: 0번째 밤,21924,22875,553,1042
20260917,4,20265146,옵세션,21591,570246,627,1547
20260917,5,20255033,암살자(들),13477,14134,75,75
20260917,6,20262770,스파이더맨: 브랜드 뉴 데이,4207,8956964,451,646
20260917,7,20070216,시간을 달리는 소녀,3022,120503,153,215
20260917,8,20265423,더 드라마,3000,70567,261,300
20260917,9,20265587,디지몬 어드벤처 : 운명적 만남 & 우리들의 워 게임!,2022,6308,165,236
20260917,10,20241110,아이유 콘서트 : 더 위닝,1439,80073,36,36
